sample,outcome,AC009242.1,AC004637.1,AC246817.1,AL139241.1,PRDM16-DT,LINC01028,LINC00639,AL135841.1,HYMAI,KCNIP2-AS1,LINC00922,LINC01614,LINC01644,AC104237.3,AC016735.1,AC090125.1,AC008459.1,LINC00958,AC112721.2,LINC00924
TCGA-AC-A3W6-01A-12R-A22K-07,1,0.1511,0.147,0.1165,0.364,1.2272,0.1218,0.4722,0.5347,0.0635,0.2297,7.2221,32.801,13.845,0,0.5979,0,0,0.1596,0.131,0.689
TCGA-LQ-A4E4-01A-11R-A266-07,1,0.148,0.691,0.0137,0.0713,0.7435,0,1.5946,0.4713,0,0.4049,0.1791,4.8831,6.3407,0,0,0,0,0,0.1539,0.6883
TCGA-A8-A09R-01A-11R-A00Z-07,1,0.1483,0.1236,0.1567,0.051,0.1277,0,0.145,0.1124,0,0.1932,1.8456,142.4622,0,0,0.2515,2.176,0,0.2376,21.8118,0.2318
TCGA-AC-A3YJ-01A-11R-A22U-07,1,0.0282,0,0.0131,0,0.1418,0,0.4286,0.1499,0.0237,0.1287,0.4783,3.4322,19.9668,0.186,0.6703,0.6445,0,1.8859,0,0.5214
TCGA-EW-A1J6-01A-11R-A13Q-07,1,0,0,0.014,0,0.0558,0,0.0992,0.0536,0,0.0691,0.1222,1.4027,0.7296,0.6652,0.1198,0,0.0069,0.0098,0.1575,0.0622
TCGA-E2-A15H-01A-11R-A12D-07,1,0.0757,0.5895,0.1284,0.1824,0.1142,0,0.1578,0,0,0.1727,1.5887,49.1079,12.0557,0.1663,1.1988,2.4493,0.0343,0.6278,1.7068,0.0863
TCGA-EW-A1P5-01A-11R-A144-07,1,0.1589,0,0.0612,0,0.0399,0,0.4257,0.1406,0,0.2415,0.5128,37.4876,1.8458,0.1745,0,0.6046,0,0.1033,1.6528,0.1812
TCGA-BH-A1EU-11A-23R-A137-07,0,1.2747,7.6611,0.5549,1.2646,0.7724,2.9937,1.2948,1.1944,0.1576,1.1115,0.1361,0.3256,0,1.7296,8.9033,0,4.5063,1.2617,0,3.0525
TCGA-AR-A1AW-01A-21R-A12P-07,1,0.0642,0.2812,0.1559,0.116,0.0887,0.0777,0.196,0,0.0135,0.4027,0.6023,17.9867,0.1658,0,0.1906,0.7331,0,0.0157,1.5031,0.2636
TCGA-AN-A0FJ-01A-11R-A00Z-07,1,0,1.013,1.7856,0,0,0,1.0073,0,0.3647,0.2967,0.105,8.6648,0,0.2859,7.2103,0,0,4.1251,0.6769,0.3264
TCGA-C8-A8HP-01A-11R-A36F-07,1,0.1026,2.9944,0.0474,0.0618,0.9021,0,0.0687,0,0.0216,0.117,0.3104,6.682,3.509,0,0.9135,2.1957,0,0.075,0.1334,0.2281
TCGA-E9-A22E-01A-11R-A157-07,1,0.0353,0,0.0817,0.1277,0.1065,0,0.0947,0.0938,0.1485,0.2014,15.5854,111.4565,0.228,0,0.2097,2.1173,0,0.0172,1.1026,0.3626
TCGA-BH-A18P-01A-11R-A12D-07,1,0.0586,0.171,0.0542,0,0.3827,0,0.4274,0,0.0246,0.2004,3.0138,74.1684,8.4707,0,0,1.3377,0,0.2857,6.0952,0.2205
TCGA-A7-A0DC-01A-11R-A00Z-07,1,0.1619,0.2836,0.0562,0.1366,0.0163,0,0.1181,0.215,0.034,0.24,0.0196,1.7933,0.3763,0,0,0,0.2364,0.2962,1.0529,0.1994
TCGA-A7-A0DC-01B-04R-A22O-07,1,3.1832,21.0435,0.5629,2.3684,0.0941,0.1133,0.5714,1.9883,1.8891,3.7362,0.2266,14.6363,4.4715,0,1.6674,0.2672,4.927,0.5479,1.9479,0.8327
TCGA-5L-AAT1-01A-12R-A41B-07,1,0,0.5844,0.162,0,0.176,0,0.1937,0,0.0842,0.2283,1.0904,23.6902,0,0,0.5943,4.2851,0.034,0.1465,0.2603,0.3424
TCGA-A8-A06U-01A-11R-A00Z-07,1,0.0982,0.1146,0.0091,0,0.1283,0,0.1169,0.1043,0.0165,0.0896,0.6417,30.4422,0.1014,0.1294,0.4663,1.2329,0,0.2873,1.4299,0.0672
TCGA-GI-A2C8-01A-11R-A16F-07,1,0.0169,0.0986,0.1875,0.1221,0.1698,0.0409,0.4074,0.2691,0.0284,0.1926,7.4025,32.356,6.2374,0.2227,0,0.1929,0,0.0494,0.8788,0.6473
TCGA-PL-A8LV-01A-21R-A41B-07,1,0.129,40.4673,0,0,0.1701,0,0.1152,0,0.0949,0.1838,0.3707,5.6001,0.0416,0.2125,1.5312,1.8402,0,0.0157,0.6708,0.1985
TCGA-BH-A0C0-01A-21R-A056-07,1,0.0804,0,0.1115,0,0.1077,0,0.1276,0,0,0.1222,0.3891,6.5153,0,0,0,0.6117,0,0.601,0.8361,0.22
TCGA-AR-A24Q-01A-12R-A169-07,1,0.0502,33.0297,0.1239,0.2823,0.0505,0,0.0648,1.6885,0.2111,0.0763,1.3979,53.1346,0,0.1103,3.9748,0.3822,0,0.1633,5.2238,0.0458
TCGA-E2-A1LI-01A-12R-A157-07,1,0.0148,0.0865,0.0206,0.0357,0.0521,0.0358,0.0662,1.0225,0.1619,0.3716,0.0717,3.2166,0,0.1953,3.5179,0.5073,0,0.1228,0,0.0912
TCGA-A2-A0SV-01A-11R-A084-07,1,0.1164,0,0.0385,0,0.0251,0.0402,0.0248,0.1766,0.0699,0.1138,0.6644,62.0515,0,0,0,2.9434,0.0113,0,1.3844,0.3642
TCGA-A8-A06Q-01A-11R-A034-07,1,0.0627,0.1464,0.0058,0.0302,0.0189,0.0607,0.0523,0.0666,0,0.1716,0.0455,1.6337,2.7841,0,0,0,0,0.0306,0.1957,0.2745
TCGA-B6-A0WV-01A-11R-A109-07,1,0.0352,0,0.0489,0,0.0177,0.1704,0.2306,0,0,0.2409,0.7244,39.9058,3.2723,0,0.418,2.4116,0.0239,0.0859,7.3254,0.2409
TCGA-C8-A134-01A-11R-A115-07,1,0.6162,0.7709,0.0746,0.0707,0.1622,0,0.0917,3.7392,0.1604,0.3011,0.071,6.2441,0.0758,1.8371,10.4525,0.5862,0.0797,0.1932,0.3053,0.3513
TCGA-E2-A1IG-01A-11R-A144-07,1,0.077,0.2997,0.3917,0,0.1419,0,0.1528,0.1363,0.0432,0.5268,1.5532,145.7841,0,0.8457,0.3047,0,0.0174,0.4381,2.5365,0.2283
TCGA-BH-A0HA-11A-31R-A12P-07,0,2.1482,1.2701,0.5157,1.3758,0.287,0.0658,0.8662,0.5775,0.4344,0.6201,0.0987,0,0.1404,9.1395,5.166,0,28.4368,3.4083,0,0.4093
TCGA-E2-A15R-01A-11R-A115-07,1,0,0.1006,0.0159,0,0.0693,0,0.2361,0.1831,0.0145,0.1965,1.8777,36.7555,0.178,0,0.2047,0.0984,0.0585,0.0841,33.4447,0.1651
TCGA-E9-A1NA-11A-33R-A144-07,0,0.5138,3.1299,0.1136,0.6458,1.5715,1.0269,1.4963,0.2372,0,2.2413,0.0541,0.097,0,1.3249,4.7741,0,0.0455,0.2832,0,3.4539
TCGA-S3-AA11-01A-31R-A41B-07,1,0.2553,0,1.2104,0.1538,0.1443,0,0.095,0,0.0268,0.5095,1.1975,18.9874,0.0824,0.2103,0.3789,0.5465,0.0217,1.93,1.8261,0.0655
TCGA-A2-A259-01A-11R-A16F-07,1,0.3384,0.4939,0.0978,0.051,0.2125,0.6141,0.4281,0,0.0889,0.1929,1.0239,25.6234,1.9655,1.115,0.7533,0.3621,0,0.9283,2.7501,0.5643
TCGA-A1-A0SB-01A-11R-A144-07,1,0.5876,1.2638,1.4447,5.0664,0.1243,0,0.3591,0.1642,0.208,0.3526,1.0106,0.5372,0,4.076,5.1406,0,0.483,2.9259,0.6434,0.0846
TCGA-A2-A0CR-01A-11R-A22K-07,1,0.1117,0,0.0603,0,0.7859,0,0.2716,0.0989,0.047,0.2123,1.262,1.0511,4.5184,0.1227,2.6529,0.2126,0.0126,1.0624,0.1937,0.2038
TCGA-3C-AALJ-01A-31R-A41B-07,1,0.3443,0,0.1592,0,0.1483,0,0.1611,0.2611,0,0,4.4644,81.1585,0,0,0,0.2807,0,0,3.8372,0.1346
TCGA-B6-A1KI-01A-11R-A14M-07,1,0.0903,0.0878,0.1114,0.0725,0.242,0.0364,0.3315,0.3995,0,0.0686,2.0579,15.4864,2.3696,0.0992,0.3573,0,0,1.2329,0.4696,0.3397
TCGA-BH-A0BM-11A-12R-A089-07,0,0.3269,5.5896,0.432,0.6189,0.2699,0.565,0.2225,0.124,0.1178,0.0533,0,0.507,0.0603,9.2336,5.5453,0,4.3132,4.9427,0,0.5592
TCGA-A8-A09C-01A-11R-A00Z-07,1,0.075,0.219,0.0347,0.0904,0.0754,0,0.1842,0.0996,0,0.4704,2.6101,44.2192,0.7746,0,0,0.7493,0.0255,0.0549,1.1705,0.1026
TCGA-AO-A0JD-01A-11R-A056-07,1,0.0485,0,0.0448,0.2336,0.0487,0,0.1371,0,0,0.1658,0.1467,24.5273,1.0639,0.1598,1.1513,2.9056,0.0988,0.9103,4.0348,0.1327
TCGA-A8-A07F-01A-11R-A00Z-07,1,0.0683,0.7973,0.1158,0.0548,0.0572,0,0.1626,0.3625,0.0191,0.6228,1.8732,30.5406,0,0.45,0,1.2991,0.0155,0.0999,15.0349,0.1246
TCGA-BH-A1F8-01A-11R-A13Q-07,1,0.0895,0,0,0,0.027,0,0.1173,0,0.0151,0.0408,1.5606,73.105,6.3804,0,0,1.3289,0,0,1.3973,0.2451
TCGA-AO-A0J8-01A-21R-A034-07,1,0.2181,0,0.0388,0,0.0422,0,0.4396,0,0,0.15310000000000001,2.7824,49.3332,2.0794,0,0,2.3945,0,0.0082,2.9676,0.3329
TCGA-C8-A278-01A-11R-A169-07,1,0.0535,0,0.1175,0.0644,0.047,0,0.0557,0.142,0.0112,0.0305,0.8578,16.9572,0.2417,0,0.3176,1.0686,0,0.0783,0.9738,0.3111
TCGA-E2-A1IN-01A-11R-A13Q-07,1,0.0309,0.2703,0.1428,0,0.0853,0,0.0551,0.082,0,0.2816,5.343,84.5249,0.8767,0,0.1833,2.2907,0,0.0903,1.2846,0.2746
TCGA-A2-A0CQ-01A-21R-A034-07,1,0.2454,0.0955,0,0,0.0904,0,0.1266,0,0,0.3357,1.3068,3.8361,9.629,0,0.1942,0,0,0.1835,0.3404,0.1231
TCGA-AC-A3W7-01A-11R-A22K-07,1,0.3341,1.5848,0.029,0.2012,0.682,0.1516,0.5533,0.3326,0.0527,0.1428,3.058,26.2961,5.0672,0.5504,2.4792,0,0.0425,0.275,1.5205,0.5857
TCGA-B6-A0IE-01A-11R-A034-07,1,0.0136,0,0.0125,0.0327,0.2317,0,0.0888,0.36,0.0342,0.0928,2.4945,2.2375,7.0361,0.0894,0.805,0,0,0.0992,0.2821,0.102
TCGA-AR-A2LN-01A-21R-A18M-07,1,0.3827,0.2234,0.2301,0.3688,0.5193,0.6482,1.3445,0.6096,0.1931,0.3491,3.6132,25.2629,11.7581,1.0089,0,0.4369,0.5198,3.1918,1.3935,1.7282
TCGA-A2-A0EQ-01A-11R-A034-07,1,0.1274,0,0.0842,0,0.0731,0,0.0921,0,0.0153,0.166,0.3744,3.3185,0.047,0.1199,0,0.3116,0,0,2.1767,0.3486
TCGA-D8-A27W-01A-11R-A16F-07,1,0,0,0.0332,0.1382,0.0937,0.1735,0.2305,0.0761,0,0.0327,1.3711,13.3258,0.1111,0.0945,0,0.1637,0,0.049,6.4144,0.3532
TCGA-BH-A0H0-01A-11R-A056-07,1,0.0169,0,0.0235,0,0.0852,0,0.2271,0.2699,0.0142,0.3092,0.2051,1.0304,38.3279,0,0.2012,0,0,0.7026,0,0.0812
TCGA-LD-A9QF-01A-32R-A41B-07,1,0.1176,0.4118,0.0217,0.2266,0.5671,0.0569,0.546,0.1248,0.1581,0.1072,2.1911,48.1914,0.0607,0,0.8375,18.5197,0.0639,0.0803,1.3452,0.4987
TCGA-BH-A0BF-01A-21R-A12P-07,1,0.2055,0.36,0.1996,0.099,0.093,0.0995,0.2692,0.1091,0.0346,0.5624,6.2438,40.1638,0,0.1354,0.244,0.9385,0,0.0501,1.0691,0.3937
TCGA-E9-A1RI-01A-11R-A169-07,1,0.1881,0.3661,0.116,0.0504,0.084,0.1012,0.1369,0,0.1054,0.286,4.073,69.3481,0.054,0,1.4891,0.3579,0.0142,0.2752,1.3047,0.2431
TCGA-E9-A1RI-11A-41R-A169-07,0,0.5436,0.1924,0.0914,0.516,0.7947,0.1594,2.158,5.6854,0.2493,5.5223,0.0199,0.5008,0,0.2171,0,0,0.0447,0.0402,0,2.1528
TCGA-E2-A1IJ-01A-11R-A144-07,1,0.1108,0.6468,0.2733,0.1779,0.2598,0,0.3738,0.1961,0.031,0.1684,4.5589,46.3449,0,0.2434,2.1923,0.2108,0,0.30620000000000003,0.3842,0.5558
TCGA-A8-A081-01A-11R-A00Z-07,1,0.0175,0.3073,0.0568,0.0423,0.0441,0,0.5328,0,0.0148,0.3601,0.2973,5.7141,13.905,0.4625,0.2083,0.5007,0.0238,0.2225,1.6426,0.3721
TCGA-AO-A03M-01B-11R-A10J-07,1,0.0666,0.0973,0.0231,0.1204,0.1674,0.0403,0.2182,0,0.014,0.114,0.5847,22.209,0.086,0.1098,0.5934,0.4754,0.0339,0.1706,7.9718,0.4673
TCGA-AO-A12H-01A-11R-A115-07,1,0.0526,0,0.0243,0,0.0352,0,0.1408,0,0,0.0799,0.4241,6.0865,22.5696,0,0,0,0,0.094,0,0.6593
TCGA-EW-A424-01A-11R-A24H-07,1,0.2429,0.2181,0.0259,0,0.4225,0.226,0.1224,0.0992,0.0942,0.4686,6.2635,12.0073,3.7621000000000002,0.6156,1.7746,0,0.1776,0.5467,0.3887,0.2173
