sample,outcome,AC009242.1,AC004637.1,AC246817.1,AL139241.1,PRDM16-DT,LINC01028,LINC00639,AL135841.1,HYMAI,KCNIP2-AS1,LINC00922,LINC01614,LINC01644,AC104237.3,AC016735.1,AC090125.1,AC008459.1,LINC00958,AC112721.2,LINC00924
TCGA-BH-A0H3-01A-11R-A12P-07,1,0.2006,0.2602,0.268,0,0.2576,0.1079,0.2389,0.2367,0.1312,0.1525,3.9654,34.2624,6.9047,0,2.1171,0.7633,0.6508,1.2283,2.7823,0.7167
TCGA-D8-A1JE-01A-11R-A13Q-07,1,0.0387,0,0.0717,0,0,0,0.2479,0,0.0326,0.0442,2.7425,61.7313,18.4995,0,0,0.6633,0,0.0189,1.8133,0.2253
TCGA-E2-A1II-01A-11R-A144-07,1,0.0334,0,0.0772,0.0805,0.0671,0,9.0484000000000009,0.3547,0.1404,0.1523,0.0808,6.5267,0,0,0.3966,0.5719,0.0227,0.0977,1.7372,0.1143
TCGA-E2-A1IU-01A-11R-A14D-07,1,0.0582,0.1699,0.0673,0.0701,0.2193,0.1408,0.4071,0,0.0489,0.5308,0.9508,10.2345,14.4973,0,1.7273,0,0,3.0366,0.3027,0.4778
TCGA-HN-A2NL-01A-11R-A18M-07,1,0.2972,0.2313,0.0733,3.0072,0.0796,0.0479,12.9119,0,0.2998,0.8133,0.0959,1.2906,0,0.1306,0,1.0178,0.0135,0.0773,0.2061,0.0136
TCGA-AR-A2LL-01A-11R-A180-07,1,0.1565,0.2611,0.0724,0.053900000000000003,0.0449,0,0.1065,0.2375,0.0564,0.306,2.4901,9.4198,0.1155,0,0,0.2553,0,0,0.2326,0.3825
TCGA-GM-A2DO-01A-11R-A18M-07,1,0.2258,0.2636,0.2089,0,0.3177,0,0.121,0.4795,0.1898,0.8238,1.0384,6.2752,9.443,0,1.0723,1.5465,0,0.0661,3.2884,0.2163
TCGA-E2-A1L7-01A-11R-A144-07,1,0,0.1809,0.172,0,0.0778,0,0.2398,0,0,0.212,1.4625,11.1676,0.8799,0.2042,0.3679,0.5306,0,0.0302,0.8058,0.3816
TCGA-E2-A1L7-11A-33R-A144-07,0,0.5968,3.8007,0.9284,0.7842,0.9814,0.3282,1.6555,0.144,0.2052,0.2474,0.0328,0.9423,0.3501,4.8265,4.509,0,13.9803,1.4287,0,1.3548
TCGA-AC-A62V-01A-11R-A31O-07,1,0.0873,0,0.0303,0,0.3401,0,2.7628,0.1159,0,0.3485,0.8985,7.4909,36.4719,0.1439,0,1.4956,0,0.0106,2.6122,0.0448
TCGA-D8-A27R-01A-11R-A16F-07,1,0.0168,0.1962,0.0466,0,0.152,0.0813,0.1201,0.0892,0.0141,0.0766,4.027,17.5866,1.5618,0,0.399,0.2877,0,0.0656,3.234,0.4369
TCGA-E9-A22G-01A-11R-A157-07,1,0.0973,0.2841,0.0225,1.3288,0,0,0.1063,0,0.5728,0.222,0.0589,4.1564,0,0.2138,2.8892,0,0.011,0.5538,0.1688,0.1665
TCGA-A2-A4RW-01A-21R-A266-07,1,0.5085,0.7421,0.21560000000000001,0.3063,0.2129,0.205,0.1892,1.5748,0,0.773,1.2821,15.0885,1.3127,0,1.0062,1.2093,0.1151,0.7439,3.306,0.4638
TCGA-BH-A1FD-11B-21R-A13Q-07,0,0.2286,1.5402,0.2928,0.2966,1.1047,0.4681,1.021,2.8948,0.1627,2.1256,0.0639,0.0764,0.0454,0.3477,6.0559,0,0.5852,0.7033,0,4.5364
TCGA-A8-A07S-01A-11R-A034-07,1,0.0934,0.1363,0.0216,0.0562,0.0352,0,0.1251,0.1239,0,0.3193,0.9322,29.6956,0.6628,0,0,0.6661,0,0.0455,1.0926,0.1916
TCGA-BH-A0B2-01A-11R-A10J-07,1,0,0,0.1205,0,0.3535,0,0.1241,0.2767,0,0.1782,4.2888,35.3018,0.6054,0.1717,1.5468,0.4462,0,0.2541,0.9487,0.3744
TCGA-3C-AAAU-01A-11R-A41B-07,1,0.2142,0.5559,0.044,0.0573,0.1076,0,0.1276,0,0,0.4342,0.5762,19.4326,3.1954,0,0,0,0.0162,0.0464,6.4381,0.0977
TCGA-BH-A0BS-11A-11R-A12P-07,0,0.483,2.5634,0.2437,1.0578,0.5626,0.1062,0.9085,1.0491,0.1107,0.4506,0.0266,0.572,0.9635,5.0638,4.9527,0,1.5951,3.6617,0.1142,0.8712
TCGA-BH-A0BS-01A-11R-A12P-07,1,0,0,0.0316,0,0.0686,0,0.1219,0,0,0.1038,0.1377,14.918,19.2644,0.4498,0,0,0,0.3883,2.2484,0.4514
TCGA-E2-A1IO-01A-11R-A144-07,1,0.2062,0.3009,0.3933,0.0621,0.246,0,0.2148,0,0.0217,0.5876,9.4815,55.1691,1.5966,0.8491,3.0597,0,0.035,0.9049,5.8977,0.0882
TCGA-A8-A08B-01A-11R-A00Z-07,1,0.775,2.1115,0,0,0.2337,0,0.0154,0,0,0,0.1876,15.0331,4.1351,0,0,3.2441,0,1.9655,0,0
TCGA-BH-A0BZ-11A-61R-A12P-07,0,0.2546,1.2578,0.0906,0.8493,1.0924,5.2127,2.3498,1.2478,0.2141,1.0272,0,0.6804,0,1.6779,0.4651,0,0.0133,0.5253,0,1.0184
TCGA-BH-A1FE-01A-11R-A13Q-07,1,0.0552,0.3223,0.2383,0.0887,0.0832,0.2672,0.3507,0,0.1702,0.2938,1.4478,69.1298,0.5226,0.849,3.7147,0.6303,0,0.3141,10.0512,1.0577
TCGA-AN-A0FZ-01A-11R-A034-07,1,0.029,0.339,0.0806,0,0.0729,0,0.3587,0.0771,0.0122,0.1324,1.3704,46.0187,3.0356,0,0,0.0829,0.0099,0.0425,2.8693,0.0497
TCGA-AO-A128-01A-11R-A10J-07,1,0.4829,0.1084,0.0172,0.2685,0.1213,0,0.7354,0.1972,0.0468,0.1271,0.1124,21.1303,0,0,0.441,0.106,0,0,3.5742,0.0508
TCGA-A8-A0A2-01A-11R-A034-07,1,0.116,0.8705,0.092,0,0.1582,0,0.1578,0,0,0.4533,1.6041,26.0434,0.2566,0,0.3934,0,0,0.3151,0.6032,0.136
TCGA-B6-A0RM-01A-11R-A084-07,1,0.2011,0.1305,0.0413,0,0.0449,0,0.1331,0,0,0.2548,2.5967,5.3378,9.0584,0,0,0,0.0152,0.2071,0.1162,0.1835
TCGA-A8-A084-01A-21R-A00Z-07,1,0.1748,0.2915,0.0924,0.1203,0.1505,0,1.7096,0,0,0.2277,0.9065,96.9266,10.3127,0.4936,0.5929,1.4251,0,0.3775,6.623,0.0342
TCGA-A1-A0SH-01A-11R-A084-07,1,0.0877,0.6399,0.2129,0,0.0991,0,0.1827,0,0.0184,0,7.4555,96.3384,0.0566,0.2889,1.3014,1.3764,0,0.3421,1.3683,0.3899
TCGA-B6-A0IA-01A-11R-A034-07,1,0.0162,0,0.0075,0,0.0488,0,0.0048,0,0,0.0369,0.137,3.0908,5.5542,0.1066,0,1.108,0,0.1972,0.2524,0.0553
TCGA-A2-A3XX-01A-21R-A239-07,1,0.1655,5.0465,0.017,0.1329,0.1386,0.0445,0.0548,0.1953,0.3711,0.1678,0.2003,17.3309,0.1424,0,6.1143,0.3149,0.2123,0.3319,0.574,0.0126
TCGA-AN-A0FF-01A-11R-A034-07,1,0.0735,0.143,0.0566,0,0.1108,0,0.6927,0,0.0618,0.4468,1.3636,14.5709,2.7821,0,0.2908,0.1398,0,0.1911,1.0191,0.2178
TCGA-A7-A26F-01A-21R-A169-07,1,0.1629,0.3658,0.1913,0.2868,0.0157,0.0303,0.6808,0.0333,0.2265,0.2,0.364,12.3789,0.0485,0.0826,0.2232,0.6794,0.0638,0.0214,3.7801,0.09
TCGA-A7-A26F-01B-04R-A22O-07,1,2.5506,9.2075,0.6754,1.7826,0.2152,0,2.4404,0.6203,3.4704,2.8416,1.2018,29.6779,0.5027,0.3849,3.0054,2.445,0.0793,0.1234,3.1395,0.6261
TCGA-A2-A0EO-01A-11R-A034-07,1,0.1301,0.217,0.1633,0.0896,0.0467,0.1799,0.249,0,0.0781,0.0424,4.9038,32.1226,1.5834,0.9799,1.5447,1.0609,0.0379,1.2418,1.6434,0.6994
TCGA-BH-A1FB-11A-33R-A13Q-07,0,0.5095,4.1995,0.9427,0.7221,0.9789,0.5802,0.6603,1.2731,0.378,1.1619,0.0726,0.1302,0.0774,2.9627,8.1849,0,3.4802,5.9052,0,2.6657
TCGA-E9-A5UP-01A-11R-A28M-07,1,0.0782,0.1521,0.012,0.2511,0.0131,0,0.1163,0,0,0.5347,0.1261,1.0182,14.7288,0,0,0,0,0.0127,0.542,0.0356
TCGA-GM-A5PV-01A-11R-A28M-07,1,0,0,0.0217,0.0564,0.3176,0,0.1812,0.1243,0.0197,0.2135,0.17,0.4066,2.6587,0.617,1.3895,0,0.0159,1.8492,0,0.4644
TCGA-BH-A5J0-01A-11R-A27Q-07,1,0.1136,0,0.0631,0,0.3198,0.055,0.2165,0,0,0.2591,3.521,16.0874,6.8649,0,0.2699,1.8162,0.0309,0.4655,0.7093,0.2954
TCGA-B6-A0WX-01A-11R-A109-07,1,0.1468,0.1225,0.097,0.1516,0.2003,0,0.7932,0.4455,0.3704,0.0957,3.9101,21.4995,0,0,3.2381,0,0.3419,0.5627,0,0.1722
TCGA-UL-AAZ6-01A-11R-A41B-07,1,0.5896,0,0.016,0,0.0871,0,0.2014,0.1842,0,0.1186,0.1679,3.7655,0.582,0,0.2059,0.4949,0,0.0169,0.451,0.0949
TCGA-BH-A1F8-11B-21R-A13Q-07,0,0.3767,1.9994,0.2218,0.4125,0.9465,5.3862,1.7231,0.3637,0.0864,0.6248,0,0.2974,0.2652,0.9028,4.4729,0,0.3488,1.4364,0,2.0853
TCGA-BH-A6R8-01A-21R-A33J-07,1,0.0896,0.1308,0.0104,0,0.0675,0,0.08,0,0.0188,0.1532,0.8404,16.9246,13.242,0,0,0.3835,0.0152,0,0.699,0
TCGA-BH-A0HN-01A-11R-A10U-07,1,0.0501,0,0.8682,0,0,0,0.0596,0,0,0.6849,0.7573,2.4998,0,0,0,0.1429,0,0,0.6509,0.137
TCGA-BH-A18T-01A-11R-A12D-07,1,0.1035,0.2416,0.3925,0.0997,0.0312,0,0.3081,0,0.0174,0.3303,0.2254,12.1325,0.0534,0,1.2286,0.4725,0,0.0807,1.507,0.1699
TCGA-BH-A0H9-11A-22R-A466-07,0,0.2413,0.313,0.1612,0.1938,3.9337,3.1785,1.2212,0.854,0,1.345,0,0,0.0692,0,0.9549,0,0,0.0392,0.1394,2.0176
TCGA-A8-A09B-01A-11R-A00Z-07,1,0.2318,0.3691,0.0195,0.0508,0.1694,0.102,0.1506,0,0.0177,0.5286,6.5294,25.6236,1.3601,0.1389,0,0.4811,0.0143,0.0617,1.6442,0.4614
TCGA-EW-A1P8-01A-11R-A144-07,1,0.0924,0,0.0107,0.0557,0.0116,0.1118,0.3645,0.1227,0.0777,0.1054,0.1118,28.4911,0,0,33.464,0.1319,0,0.1352,0.8411,0.3161
TCGA-A1-A0SG-01A-11R-A144-07,1,0.1417,0,0.0765,0.2276,0.1306,0,0.1266,0,0.0397,0.2693,2.5444,32.4136,0,0,0,0.8089,0,0.1613,3.0716,0.1939
TCGA-AO-A0J9-01A-11R-A034-07,1,0.1334,0.0649,0.0617,0.0803,0.4078,0.0269,0.46,0.1771,0.0187,0.2788,1.4262,9.1722,0.4592,0.3663,0.528,0.698,0.0604,0.0434,0.3469,0.7758
TCGA-BH-A0GZ-01A-11R-A056-07,1,0.0377,0,0.061,0,0.1042,0,0.2076,0,0,0.043,2.874,19.314,0,0,0,2.0438,0.0128,0.3493,0.098,0.3739
TCGA-C8-A12Q-01A-11R-A115-07,1,0.1001,0.3506,0.1852,0,0.1911,0,0.3338,0,0,0.137,0.6542,24.3427,0,0.5277,0.9508,0.5714,0.0544,0.1562,4.3736,0.2055
TCGA-BH-A1F6-11B-94R-A13Q-07,0,0.7933,1.1578,0.4586,0.6983,0.8509,3.2481,1.7485,3.7258,0.1667,2.5047,0.0554,0.9937,0.0394,3.7197,2.898,0,0.5594,1.2424,0.238,4.3835
TCGA-BH-A0BV-11A-31R-A089-07,0,0.6304,2.9441,0.7872,10.5296,0.4223,0.0508,0.8633,0.7809,0.371,0.8625,0.1272,2.3724,0.7594,4.1542,11.2268,0,1.2984,2.1622,3.1695,0.3594
TCGA-EW-A3E8-01B-11R-A24H-07,1,0.1561,0.3038,0.0562,0.1254,0.4795,0.042,0.3254,0.5527,0.1021,0.7121,3.5485,11.3004,3.7621000000000002,0,0,0,0,0.1184,0.3609,0.273
TCGA-BH-A0BV-01A-11R-A00Z-07,1,0,0.154,0.1952,0.0635,0.053,0,0.2512,0,0,0.3007,1.8513,56.3468,12.6639,0.1738,0,0.1505,0,0.2701,3.4294,0.1624
TCGA-C8-A26X-01A-31R-A16F-07,1,0.0132,0.1537,0.0487,0.0952,0.0926,0.223,0.0901,0.1398,0,0.1201,0.8764,12.5207,0,0,0,0.9769,0,0.0064,0.2739,0.1711
TCGA-E2-A1B5-01A-21R-A12P-07,1,0.0722,0,0.1336,0,0.39,0,0.2096,0.0958,0.0152,0.0823,0.4369,2.43,0.0932,0.3569,2.1432,0.2061,0,0.3169,0.9389,0.5063
TCGA-AC-A6IX-01A-12R-A32P-07,1,0.1934,0,0.0447,0,0.6681,0.2925,0.5182,0.1284,0.0406,0.8269,3.8914,27.7142,3.2453,0.7966,0.287,0,0,0.1886,1.5089,0.43
TCGA-E2-A10C-01A-21R-A10J-07,1,0.1274,0.1239,0.0884,0,0.128,0,0.158,0,0,0.1936,0.6422,12.2589,1.5343,0,0,0.1212,0,0,0.3312,0.305
TCGA-A2-A4S2-01A-12R-A266-07,1,0.284,0,0.4434,0.1711,0.2854,0,0.5285,0.1885,0.0298,0.3238,1.375,17.1133,3.2996,0.9359,5.9015,1.4185,0,0.2251,4.432,0.6315
TCGA-A7-A0CH-01A-21R-A00Z-07,1,0.0873,0.17,0.0808,0.1403,0.0731,0,0.078,0,0,0,3.1008,47.5372,0.1503,0.1919,0.3457,2.3265,0,1.1359,3.3315,0.1195
TCGA-AR-A24W-01A-11R-A169-07,1,0.671,2.2385,0.1552,1.0393,0.3251,0.9857,0.8133,0.1272,0.2619,0.1639,1.4502,29.139,0.9899,3.3165,1.7072,0,0.3743,2.7699,3.3656,1.3117
TCGA-A7-A26J-01B-02R-A277-07,1,2.9712,18.8226,5.4677,2.8938,0.2224,1.3766,0.941,3.3564,5.3681,3.0273,6.3505,23.3346,1.3056,5.4159,1.5012,0.3608,1.5025,0.4316,3.617,0.346
TCGA-E9-A1N4-11A-33R-A14M-07,0,1.454,1.452,0.1681,4.3327,0.5768,0.5092,0.8885,0.9142,0.2574,0.349,0,0.3323,5.4824,2.8998,17.0367,0.1092,9.8084,1.8194,0.0995,1.1257
TCGA-BH-A18V-06A-11R-A213-07,1,1.1075,0.098,0.0155,0.1213,0.1265,0,0.2648,0.1782,0.0988,0.2679,0.1015,7.4327,0.0433,0,0.9962,0.0958,0,0,3.3167,0.1837
TCGA-D8-A1XO-01A-11R-A14M-07,1,0.0415,0,0.1631,0,0.1146,0.0502,0.2778,0,0.0872,0.331,7.1786,61.059,5.8357,0,0,0.2367,0,0.1011,0.7551,0.2838
TCGA-BH-A18V-11A-52R-A12D-07,0,0.4282,3.7496,0.2641,0.745,1.2431,0.7482,0.4391,0.1263,0.18,0.3255,0,0.2066,0.0614,1.7244,16.3812,0,0.3554,0.8585,0,0.6184
TCGA-AN-A0FS-01A-11R-A034-07,1,0.1383,0.6058,0.056,0.0833,0.1912,2.0922,0.3192,0,0.1018,0.1972,2.9722,19.6759,9.331,0.6838,0.4107,0,0.3406,1.147,0.7196,0.8992
TCGA-GM-A2D9-01A-11R-A18M-07,1,0.1388,0.4052,0.1124,0.2508,0.1569,0,0.1137,0.5528,0,0.0791,2.2682,29.5381,10.2136,0,0.8241,0.1981,0,0.0338,0.722,0.2612
TCGA-AR-A2LR-01A-12R-A18M-07,1,1.0593,4.1895,0.0158,0.6586,0.7384,0.248,0.3866,0.1814,0.4309,0.0779,1.9025,41.6984,0.1764,0.4504,0.8115,0.7802,0.0928,0.3166,8.1762,0.4208
TCGA-C8-A1HO-01A-11R-A13Q-07,1,0.0581,0,0.0179,0,0.0389,0.1405,0.1153,0,0.0163,0.3091,1.406,10.1735,0.2999,7.5281,0,0.5526,0,0.2549,1.3092,0.1457
TCGA-EW-A2FW-01A-11R-A17B-07,1,0.0242,0.1415,0.0561,0,0.0731,0,0.2165,0,0.0204,0.0553,1.1148,18.7369,0.0626,0,0,0,0,0.0473,1.7652,0.3649
TCGA-C8-A1HI-01A-11R-A137-07,1,0.1459,0,0.0877,0,0.1686,0.1059,0.2171,0,0,0,5.649,7.7274,0.0753,2.3069,2.2513,0,0.0198,1.4084,0.1517,0.3293
TCGA-BH-A0BD-01A-11R-A034-07,1,0.0827,0.1207,0.0478,0.0498,0.0623,0.05,0.1908,0.1098,0.0348,0.2829,1.1513,21.1029,4.2175,0,0.7366,0.3541,0,0.0101,2.4739,0.6791
TCGA-AN-A0XW-01A-11R-A109-07,1,0.0477,0,0.0993,0.0575,0.1199,0.1154,0.206,0,0.0201,0.3808,3.3491,48.7914,1.4164,0,1.1329,0.1362,0.0486,0.5701,0.6204,0.0816
TCGA-E2-A1LE-01A-12R-A19W-07,1,0.1314,0.1279,0.0304,0.1583,0.5615,0,0.0978,0,0.0737,0.0999,4.7199,35.0111,0.0566,0,2.081,0.1251,0,0.0748,0.3419,0.8244
TCGA-AC-A2FG-01A-11R-A17B-07,1,0.3293,3.1363,0.0882,0.2088,0.3222,0.0419,0.4282,0.092,0.1166,0.079,0.4405,3.0102,0.0895,0.6852,5.7612,0.0989,0.6119,1.1917,0.7211,0.7469
TCGA-AN-A0FD-01A-11R-A034-07,1,0.0735,0.143,0.0227,0,0.0985,0,0.0583,0,0,0.0559,4.2689,31.2713,0.822,0,0.2908,0.4194,0.0333,0.1195,0.1274,0.1341
TCGA-B6-A0IP-01A-11R-A034-07,1,0.1243,0.2073,0.0082,0.0428,0.0714,0.043,0.0951,0,0,0.4049,1.3753,13.7241,6.8296,0.468,0.8432,1.4188,0,1.5846,0.2771,0.4252
TCGA-AC-A2FF-11A-13R-A17B-07,0,0.3862,0.3921,0.6446,0.7282,0.5991,0.4875,1.1398,1.0698,0.1271,0.3446,0.2642,3.3542,0.997,1.3279,6.5792,0.1917,2.2462,0.8762,4.367,1.436
TCGA-OL-A66K-01A-11R-A29R-07,1,0.2053,0.1712,0.0543,0.0706,0.6925,0.1419,0.3143,0.3114,0.074,0.0669,3.1587,19.6104,0.6056,0,0.6963,0.3348,0,0.3146,0.1525,0.3812
TCGA-AC-A4ZE-01A-11R-A41B-07,1,0.1126,0.263,0.0313,0.1628,0.7922,0,0.3956,0.3587,0.0379,0.565,0.0273,0.5868,55.5288,0.1484,0,0.1286,0,0.022,0.3515,0.5547
TCGA-E9-A22A-01A-11R-A157-07,1,0.0287,0.3355,0.0465,0,0.1733,0,0.0385,0,0.0242,0.0655,1.5127,74.0508,0.1113,0.0947,0,0.984,0,0.028,1.2703,0.285
TCGA-BH-A0B0-01A-21R-A115-07,1,0.0234,0,0.0325,0,0.30620000000000003,0.0567,0.4676,0.2489,0.0788,0.4276,1.0497,57.7157,5.0227,0.9268,0,2.0069,0,0.2058,0.6096,0.9783
TCGA-A2-A25B-01A-11R-A169-07,1,0.0434,0.1268,0.1507,0.0523,0.0546,0,0.1617,0,0.0183,0.0991,0.631,125.3726,0,0.1432,0,0,0,0.0212,4.5198,0.0892
TCGA-A2-A0YT-01A-11R-A109-07,1,0,0.6362,0,0,0.0456,0.0439,0.2487,0,0,0.1242,0.2198,14.1173,0.844,0.1197,0.21560000000000001,1.244,0,0.0177,5.2901,0.1988
TCGA-BH-A0BW-11A-12R-A115-07,0,0.481,0.983,0.8677,0.8113,0.9911,1.3967,2.0981,0.1277,0.546,0.8776,0.0582,0.4178,0.1242,0.317,8.8531,0,1.274,0.5748,0.7506,1.3988
TCGA-A7-A6VV-01A-22R-A33J-07,1,0.0492,0,0.1138,0.2964,0.2102,0.0595,4.3514,0.6532,0.1655,0.3928,0.2978,126.7289,0.0635,0,21.3275,3.7921,0.0167,0.132,7.1673,0.1683
TCGA-BH-A1EN-01A-11R-A13Q-07,1,0.0176,0,0.0897,0.1699,0.0354,0,0.147,0.2809,0,0.0402,1.1097,28.3314,0.5918,0,0,0.8052,0,0.043,1.6509,0.1568
TCGA-A2-A3XW-01A-11R-A239-07,1,0.1358,0,0.0471,0.0818,0.5716,0,0.0809,0.1803,0.2284,0.0774,0.0206,1.9908,0.1315,0,0.4032,0,0.0807,0.5382,0.265,0.1626
TCGA-B6-A0WT-01A-11R-A109-07,1,0.0903,0.5274,0.1462,0,0.0681,0,0.3362,0,0,0.206,6.1771,119.6412,2.332,0,0,1.8046,0,0.0441,4.6985,0.2472
TCGA-D8-A1Y3-01A-11R-A157-07,1,0.033,0,0.0688,0,0.0415,0,0.0738,0.0877,0,0.2261,1.36,4.8795,13.9496,0.1089,0.1962,0.0943,0,0.0322,0.2578,0.2261
TCGA-C8-A12V-01A-11R-A115-07,1,0.1524,0,0.1108,0.6296,0.2189,0,4.8755,0,0.0366,0.0497,0.0264,3.8773,0,0.4305,1.2928,0.3729,0.1035,0.3611,1.8124,0.2086
TCGA-AR-A255-01A-11R-A169-07,1,0.0938,0.9583,0.0868,0.113,0.271,0,0.2443,0.249,0.0197,0.2674,2.4974,61.2997,0.1816,0.9272,0.8352,0.1338,0.3821,0.5032,3.781,0.7701
TCGA-D8-A27G-01A-11R-A16F-07,1,0.084,0.2452,0.0291,0,0.1055,0,0.1125,0,0.0706,0.2394,5.5918,42.3153,14.0962,0,0,0,0.0285,0.0205,4.9155,0.5029
TCGA-E2-A1B1-01A-21R-A12P-07,1,0.1935,0.242,0.3771,0.4994,0.1111,0.2675,0.6459,0.2935,0.151,0.2206,3.3786,51.0092,0.2854,1.1839,3.1175,2.2086,0.441,0.775,1.8689,1.2575
TCGA-E2-A108-01A-13R-A10J-07,1,0.051,1.0415,0.0943,0.2456,0.9605,0.1233,0.9636,0,0.0857,0.3487,1.5115,27.005,0.8554,0.5039,1.2104,0.5819,0.0173,0.1492,1.3257,1.1334
TCGA-C8-A12M-01A-11R-A115-07,1,0.0684,0,0.0158,0,0.1374,0,0.2239,0,0,0.1559,0.4551,10.2416,0,0,0,0,0,0,1.7779,0.7249
TCGA-A1-A0SP-01A-11R-A084-07,1,0.0212,1.359,0.3915,0,0.0744,0,1.512,0.1124,0.1067,0.0483,0.1281,10.8436,0.1639,0.1395,4.2714,1.5702,0,0.0619,0.7705,0.3475
TCGA-A2-A0CL-01A-11R-A115-07,1,0.1861,0,0.1722,0.3363,0.4092,0,0.3186,0.1235,0.0196,0.5305,0.7884,25.1569,2.5827,0,0.2762,0.2656,0,0.1362,3.1464,0.955
TCGA-A8-A08J-01A-11R-A00Z-07,1,0.111,0,0.1027,0,0.1766,0,0.4076,0,0.0156,0.2531,0.8957,58.3265,0.7642,0,0.2197,0.4224,0,0.0451,2.2133,0.0506
TCGA-AC-A2BM-01A-11R-A21T-07,1,0.1027,0.2997,0.0119,0.2473,0.0645,0,0.2063,0.1363,0.0432,0.3512,1.0872,13.4857,1.1926,0,0,0,0.0174,0,0.801,0.1932
TCGA-BH-A0W7-01A-11R-A115-07,1,0.0237,0.1386,0.1208,0,0.3221,0.0574,0.2191,0,0.02,0.2166,7.2699,37.8374,1.1033,0.7823,0.8457,0.9486,0.0322,0.1042,0.7409,0.3898
TCGA-A7-A6VX-01A-12R-A33J-07,1,0.2647,0,0.0816,0.1417,0.133,0,0.2364,0.4685,0.0495,0.2683,4.7703,77.9138,0,0,0.3492,1.6789,0,0.0861,3.8247,0.1409
TCGA-AC-A23E-01A-11R-A157-07,1,0.0597,0,0.1565,0.048,0.05,0,0.0948,0,0.0167,0.0454,4.9153,185.611,0.3598,0.2624,0,2.7272,0,0.2913,6.9378,0.0272
TCGA-BH-A0BQ-01A-21R-A115-07,1,0.058,0,0.1475,0,0.1457,0,0.1381,0,0.195,0.2645,4.0713,51.7569,1.7219,0.1911,2.7545,2.8139,0.0591,0.6788,2.5642,0.3373
TCGA-EW-A1PH-01A-11R-A14M-07,1,0.1804,0,0.0093,0.0483,0.0604,0.0485,0.0477,0.3193,0.2023,0.1371,0.1941,13.4941,0,0.1321,0.9521,1.8309,0,1.6034,1.0428,0.192
TCGA-E2-A14S-01A-11R-A12D-07,1,0.1614,0,0.0415,0.216,0.3514,0,0.3576,0.2856,0.0151,0.4906,0.4991,3.7372,47.5826,0,0,0,0.0122,0,0.0933,0.2453
TCGA-BH-A209-01A-11R-A157-07,1,0.1793,0.0872,0.1935,0,0.0375,0.0361,0.0712,0.3966,0,0.3066,0.2531,6.6819,0.7713,0,0,0.8527,0.0203,0,0.9324,0.1124
TCGA-BH-A0DP-01A-21R-A056-07,1,0.0559,0,0.1163,0.0673,0.2106,0,0.2745,0.1483,0.0705,0,2.6712,35.7896,0.4327,0.1841,0.6634,0.1595,0,1.0764,0.5813,0.3058
TCGA-AO-A1KS-01A-11R-A13Q-07,1,0.1307,0.2543,0.0302,0,0.0766,0.1581,0.1491,0.1156,0.0183,0.2483,2.1089,27.3349,1.7431,0.4306,0,0.2486,0,0.0531,2.8323,0.2086
TCGA-W8-A86G-01A-21R-A36F-07,1,0.8977,4.2267,0.1607,1.1861,0.975,0.1401,0.319,0.1538,0,0.2642,1.9979,10.1865,1.57,0.3817,25.1008,0,0.118,1.8784,0,0.1585
TCGA-A7-A26G-01A-21R-A169-07,1,0.0453,0.353,0.1678,0.1821,0.0684,0.0731,2.1868,0.0802,0.0508,0.0345,7.2623,89.0653,0,0.2988,1.4356,0.5176,0,0.1327,4.6383,0.7549
TCGA-D8-A1XC-01A-11R-A14D-07,1,0.135,0,0.0125,0,0,0,0.0804,0,0,0.0616,0,3.1667,4.4624,0,0,0,0,1.1854,0,0.0739
TCGA-BH-A0B5-11A-23R-A12P-07,0,0.5877,0.371,0.1102,0.15310000000000001,1.1015,0.5381,0.6857,1.3494,0.0801,3.9122,0,0.2759,0,0,0.1886,0,0,0.0077,0,0.5434
TCGA-BH-A0B5-01A-11R-A12P-07,1,0.2302,0.1493,0.1183,0.1233,0.1157,0,0.3808,0.2716,0.0215,0.2917,4.2414,42.6547,0.2641,0,2.7334,0.146,0.0174,0.1871,4.2576,0.28
TCGA-A2-A3KD-01A-12R-A213-07,1,0.2725,0,0.09,0.1876,0.1565,0,0.3534,0.1033,0.0164,0.1775,0.5653,7.9446,0.201,0.513,0.2311,0,0.5022,0.5505,0.4049,0.6924
TCGA-C8-A1HK-01A-21R-A13Q-07,1,0.0295,0,0.6686,0.0711,0.0445,0,0.1317,0,0,0,0.8927,16.2704,0,0.1944,0,0.3368,0,0.5036,0,0.1817
TCGA-EW-A1IX-01A-12R-A144-07,1,0.16,0.1557,0.2467,0.1285,0.3217,0.1936,0.2859,0,0.0673,0.2433,6.7791,56.8703,8.3318,0,0,0.1522,0,0.2341,0.5549,0.3285
TCGA-AR-A1AL-01A-21R-A12P-07,1,0.3027,1.031,0.3384,0.2431,0.3169,0.6714,1.1116,0.5358,0.1273,0.2301,1.6488,33.1943,4.4938,0.8313,3.5944,0,0.7538,1.1688,2.0995,2.0194
TCGA-A7-A4SF-01A-11R-A266-07,1,0.0663,0,0.1841,0,0.15,0,0.2666,0.1761,0,0,0.7226,3.7448,8.0488,0,0,0.1893,0,0.2265,0.6901,0.1135
TCGA-LL-A740-01A-21R-A32P-07,1,0.1234,0.2882,0.0799,0,0.1985,0,0.0955,0,0,0.0563,3.5257,101.1993,0,0,0.5862,1.6909,0,0.0602,4.4942,0.2702
